,Loc,Loc_Name,Loc Purp Desc,Loc/QTI,DC,Operating_Capacity,Total_Scheduled_Quantity,OAC,Loc_Zn,IT,Flow_Ind_Desc,State,County,Operator,OBA,G/T,Miles,EGM,Flw Cntl,All Qty Avail,Qty Reason,Cycle_Desc,Eff_Gas_Day,TSP
75,80706   ,ACADIAN - TRUNKLINE INTERCONNECT,Delivery Location,DPQ,200000,150000,14838,135162,FLD     ,Y,D,LA      ,ST MARY,Acadian Gas Pipeline System,Y,T,-133,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
76,80710   ,WOODLAWN INTERCONNECT - TEXAS GAS,Delivery Location,DPQ,125000,125000,1,124999,FLD     ,N,D,LA      ,CALCASIEU,"Texas Gas Transmission, LLC",Y,T,-24,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
77,80711   ,TENNESSEE @ KAPLAN - TENNESSEE GAS,Delivery Location,DPQ,500000,0,0,0,FLD     ,N,D,LA      ,JEFFERSON DAVIS,"Tennessee Gas Pipeline Company, L.L.C.",Y,T,-32,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
78,80715   ,SABINE @ LAKE CHARLES - SABINE PIPELINE,Delivery Location,DPQ,200000,200000,1,199999,FLD     ,N,D,LA      ,CALCASIEU,Sabine Pipe Line LLC,Y,T,-23,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
79,80717   ,TGC @ HENRY HUB - JEFFERSON ISLAND STORAGE & HUB ,Receipt Location,RPQ,250000,250000,0,250000,FLD     ,N,R,LA      ,VERMILION,Jefferson Island Storage & Hub L.L.C.,Y,T,-91,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
80,80717   ,TGC @ HENRY HUB - JEFFERSON ISLAND STORAGE & HUB ,Delivery Location,DPQ,250000,250000,1,249999,FLD     ,N,D,LA      ,VERMILION,Jefferson Island Storage & Hub L.L.C.,Y,T,-91,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
81,80719   ,OBION ETHANOL PLANT - GREEN PLAINS OBION,Delivery Location,DPQ,10800,10800,9493,1307,Z1B     ,N,D,TN      ,OBION,Green Plains Obion LLC,N,T,471,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
82,80721   ,HENRY HUB HIGH PRESSURE - TGC - SABINE ,Receipt Location,RPQ,500000,0,0,0,FLD     ,N,R,LA      ,VERMILION,Sabine Pipe Line LLC,Y,T,-91,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
83,80721   ,HENRY HUB HIGH PRESSURE - TGC - SABINE ,Delivery Location,DPQ,500000,0,0,0,FLD     ,N,D,LA      ,VERMILION,Sabine Pipe Line LLC,Y,T,-91,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
84,80726   ,LAGLORIA DELIVERY - DCP OPERATING,Delivery Location,DPQ,80000,80000,9987,70013,FLD     ,N,D,TX      ,JIM WELLS,"DCP Operating Company, LP",N,T,-401,Y,N,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
