,Cycle_Desc,Post_Date,Eff_Gas_Day,Cap_Type_Desc,Post_Time,Eff_Time,Loc,Loc_Name,Loc_Zn,Flow_Ind_Desc,Loc_Purp_Desc,Loc_QTI_Desc,Meas_Basis_Desc,IT,All_Qty_Avail,Total_Design_Capacity,Operating_Capacity,Total_Scheduled_Quantity,Operationally_Available_Capacity,TSP_Name,TSP
113,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59125,UCG MORTON,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"4,801","4,801",0,"4,801",EAST TENN,7921323
114,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59126,UCG GRAY,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"26,409","26,409",0,"26,409",EAST TENN,7921323
115,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59127,UCG TRI CITIES,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"3,689","3,689",0,"3,689",EAST TENN,7921323
116,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59128,UCG MILLER PARK,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"26,955","26,955",0,"26,955",EAST TENN,7921323
117,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59129,UCG BOONES CREEK,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"50,634","50,634",0,"50,634",EAST TENN,7921323
118,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59130,UCG ABINGDON,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"18,088","18,088","1,173","16,915",EAST TENN,7921323
119,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59131,KUB SOUTH,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"2,712","2,712",0,"2,712",EAST TENN,7921323
120,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59134,MTUD FRANKLIN,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"16,728","16,728",806,"15,922",EAST TENN,7921323
121,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59141,ATHENS RICEVILLE,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"13,181","13,181","1,030","12,151",EAST TENN,7921323
122,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59142,CHAT EAST BRAINERD,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"18,211","18,211",89,"18,122",EAST TENN,7921323
123,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59143,LOUDON NORTH,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"16,258","16,258","5,133","11,125",EAST TENN,7921323
